row_index,sale_year,sale_month,sale_day,sale_quarter,list_year,town_encoded,house_number,has_unit,zipcode,longitude,latitude,year_built,stories,total_bedrms,total_bthrms,living_area_sqft,style_encoded,fiscal_year_end_june30,mortgage30us,cpi_cuur0100sa0,unemployment_rate,housing_supply_actliscouct,mill_rate,gdp_real_estate,home_age_at_sale,living_area_sqft_log1p,sale_amount_log1p
528,2018,9,19,3.0,2017.0,20,2.0,0,6413.0,-72.5120248,41.3026217,2002.0,2.0,4.0,2.0,2890.0,30.0,2019.0,4.6,266.709,3.4,19161.0,30.54,35023.1,16.0,7.969357742016346,12.779875885354992
529,2008,11,18,4.0,2008.0,46,56.0,0,6514.0,-72.9468199,41.3540718,1942.0,1.5,2.0,1.0,924.0,24.0,2009.0,6.14,227.236,5.9,,,32053.5,66.0,6.829793737512425,12.30592250537653
530,2018,11,9,4.0,2018.0,41,24.0,0,6035.0,-72.8024943,41.9248579,1973.0,2.0,3.0,2.0,2444.0,30.0,2019.0,4.94,265.487,3.0,17804.0,38.69,35023.1,45.0,7.801800401908973,12.529969716574517
531,2017,10,11,4.0,2017.0,11,94.0,0,6610.0,-73.1749866,41.2184592,1943.0,1.25,3.0,1.0,1152.0,24.0,2018.0,3.85,260.58,4.0,19296.0,,35485.1,74.0,7.050122520269059,11.774527900858468
532,2019,2,11,1.0,2018.0,64,21.0,0,6468.0,-73.2188245,41.3094829,1996.0,2.0,4.0,2.0,2639.0,30.0,2019.0,4.41,266.706,4.1,14330.0,35.24,37215.4,23.0,7.878534196140362,12.983103608918752
533,2008,2,26,1.0,2007.0,11,385.0,0,6606.0,-73.1959748,41.2076652,1955.0,1.0,3.0,1.0,1188.0,101.0,2008.0,6.04,225.213,5.4,,,32053.5,53.0,7.080867896690782,12.095141084822892
534,2014,7,11,3.0,2013.0,37,97.0,0,6824.0,-73.270733,41.1316962,1939.0,2.0,4.0,2.0,2392.0,30.0,2015.0,4.15,253.833,7.1,,24.4,35902.5,75.0,7.780303087908373,13.75894126467638
535,2020,2,13,1.0,2019.0,68,123.0,0,6052.0,-72.8189666,41.6576969,1958.0,1.0,3.0,2.0,1741.0,101.0,2020.0,3.47,273.08,4.2,11584.0,,37034.6,62.0,7.462789157412448,12.506180941677355
536,2018,6,6,2.0,2017.0,63,25.0,0,6460.0,-73.0818255,41.2008114,1978.0,1.0,3.0,2.0,1184.0,100.0,2018.0,4.56,265.95,4.0,18609.0,27.79,35023.1,40.0,7.077498053569231,12.577639650232571
537,2018,8,27,3.0,2017.0,10,14.0,0,6405.0,-72.8002557,41.2762557,1955.0,2.0,4.0,2.0,1900.0,120.0,2019.0,4.51,266.425,3.9,19000.0,28.64,35023.1,63.0,7.550135342488429,12.861001210669146
